Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions,count_of_crime,charge_of_violations
90012,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-01-14,2010-01-14,100100521,34.0640,-118.2375,900 N  BROADWAY,0400 0429 2000,101,0118,1445,"{'0400': 'Force used', '0429': 'Vict knocked to ground', '2000': 'Domestic violence'}",3,3
90021,los angeles,01,Central,210,ROBBERY,2010-01-14,2010-01-15,100100522,34.0350,-118.2386,ALAMEDA                      ST,0344,101,0158,2000,{'0344': 'Removes vict property'},1,1
90015,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-01-15,2010-01-15,100100523,34.0409,-118.2609,1100 S  OLIVE                        ST,0329,102,0182,0245,{'0329': 'Vandalized'},1,1
90071,los angeles,01,Central,755,BOMB SCARE,2010-01-15,2010-01-16,100100529,34.0502,-118.2540,600 W  5TH                          ST,0404,738,0152,1745,"{'0404': 'Bomb Threat, no bomb'}",1,1
90013,los angeles,01,Central,210,ROBBERY,2010-01-15,2010-01-16,100100531,34.0515,-118.2424,1ST,0344 0416 1218,102,0127,2030,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '1218': 'Victim was Homeless/Transient'}",3,3
90014,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-01-16,2010-01-17,100100535,34.0389,-118.2550,300 E  OLYMPIC                      BL,,103,0185,1735,{'nan': 'Unknown code'},1,1
90015,los angeles,01,Central,237,CHILD NEGLECT (SEE 300 W.I.C.),2010-01-23,2010-01-23,100100552,34.0401,-118.2668,1300 S  FLOWER                       ST,1251,502,0192,1225,{'1251': 'Victim was a student'},1,1
90014,los angeles,01,Central,210,ROBBERY,2010-01-23,2010-01-23,100100553,34.0428,-118.2461,600    SAN JULIAN                   ST,0344 0416,101,0166,1100,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",2,2
90079,los angeles,01,Central,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2010-01-23,2010-01-23,100100555,34.0545,-118.2499,200 S  GRAND                        AV,2000,502,0132,2000,{'2000': 'Domestic violence'},1,1
90012,los angeles,01,Central,210,ROBBERY,2010-01-26,2010-01-26,100100561,34.0563,-118.2374,800 N  ALAMEDA                      ST,0346 0400,102,0119,1820,"{'0346': 'Snatch property and runs', '0400': 'Force used'}",2,2
90071,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-01-28,2010-01-28,100100562,34.0502,-118.2540,500 S  GRAND                        AV,0416 2000,108,0152,2345,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}",2,2
90013,los angeles,01,Central,330,BURGLARY FROM VEHICLE,2010-01-29,2010-01-30,100100564,34.0454,-118.2360,800    TRACTION                     AV,0344 1609,101,0139,1630,"{'0344': 'Removes vict property', '1609': 'Smashed'}",2,2
90013,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-01-31,2010-01-31,100100570,34.0472,-118.2371,600 E  2ND                          ST,0344,210,0139,0130,{'0344': 'Removes vict property'},1,1
