ID,zip_code,mo_code,mo_description,charge_of_violations,date_occurred,date_reported,area_name,latitude,longitude
51,90014,,{'nan': 'Unknown code'},1,2/27/10,2/27/10,Central,34.0445,-118.2523
52,90079,416,{'0416': 'Hit-Hit w/ weapon'},1,2/28/10,2/28/10,Central,34.0524,-118.2467
53,90015,0400 2000,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,2/28/10,3/1/10,Central,34.0389,-118.2643
54,90017,329,{'0329': 'Vandalized'},1,3/1/10,3/1/10,Central,34.0459,-118.2579
55,90015,0344 0355 0400,"{'0344': 'Removes vict property', '0355': 'Demanded property other than money', '0400': 'Force used'}",3,8/1/10,8/1/10,Central,34.0384,-118.2646
56,90013,0200 0400,"{'0200': 'Suspect wore disguise', '0400': 'Force used'}",2,2/28/10,2/28/10,Central,34.0485,-118.2447
57,90013,1501,{'1501': 'Other MO (see rpt)'},1,3/1/10,3/1/10,Central,34.0435,-118.2427
58,90071,329,{'0329': 'Vandalized'},1,3/1/10,3/1/10,Central,34.0503,-118.2504
59,90071,0413 0500 0536 0526,"{'0413': 'Drugged', '0500': 'Sex related acts', '0536': 'Suspect removes own clothing', '0526': 'Utilized Condom'}",4,3/6/10,3/6/10,Central,34.0535,-118.256
60,90012,329,{'0329': 'Vandalized'},1,3/6/10,3/7/10,Central,34.0695,-118.2324
61,90015,329,{'0329': 'Vandalized'},1,3/11/10,3/11/10,Central,34.0416,-118.262
62,90014,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,3/11/10,3/11/10,Central,34.0446,-118.249
63,90079,0416 0417,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",2,3/11/10,3/12/10,Central,34.053,-118.2444
64,90014,0416 0411 0417 1402,"{'0416': 'Hit-Hit w/ weapon', '0411': 'Cut/stabbed', '0417': 'Kicked', '1402': 'Evidence Booked (any crime)'}",4,3/12/10,3/12/10,Central,34.0435,-118.2471
65,90017,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,3/12/10,3/12/10,Central,34.0499,-118.2614
66,90014,0400 2000,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,3/13/10,3/13/10,Central,34.0452,-118.2534
67,90014,0337 0400 0411 0432 0906,"{'0337': 'Demands money', '0400': 'Force used', '0411': 'Cut/stabbed', '0432': 'Intimidation', '0906': 'Gangs'}",5,3/14/10,3/14/10,Central,34.0407,-118.2468
68,90071,432,{'0432': 'Intimidation'},1,3/12/10,3/14/10,Central,34.0502,-118.254
69,90013,334,{'0334': 'Brandishes weapon'},1,3/14/10,3/14/10,Central,34.0442,-118.2439
70,90017,416,{'0416': 'Hit-Hit w/ weapon'},1,3/14/10,3/15/10,Central,34.0451,-118.2604
71,90014,2000,{'2000': 'Domestic violence'},1,3/15/10,3/15/10,Central,34.0407,-118.2468
72,90021,329,{'0329': 'Vandalized'},1,3/14/10,3/14/10,Central,34.0384,-118.2305
73,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,3/16/10,3/16/10,Central,34.0446,-118.245
74,90014,0329 1217,"{'0329': 'Vandalized', '1217': ""Teenager(Use if victim's age is unknown)""}",2,3/18/10,3/18/10,Central,34.0424,-118.2493
75,90079,400,{'0400': 'Force used'},1,3/18/10,3/18/10,Central,34.0482,-118.2472
76,90079,400,{'0400': 'Force used'},1,3/18/10,3/18/10,Central,34.0482,-118.2472
77,90014,0416 0429 0917 1804,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground', '0917': ""Victim's Employment"", '1804': ""Susp is/was victim's employer""}",4,3/19/10,3/19/10,Newton,34.0371,-118.2475
78,90014,0305 0344 0416,"{'0305': 'Attacks from rear', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",3,3/19/10,3/19/10,Central,34.0446,-118.245
79,90012,,{'nan': 'Unknown code'},1,3/20/10,3/23/10,Central,34.0627,-118.2463
80,90012,0344 0906 1402 1609,"{'0344': 'Removes vict property', '0906': 'Gangs', '1402': 'Evidence Booked (any crime)', '1609': 'Smashed'}",4,3/21/10,3/21/10,Central,34.0635,-118.2458
81,90029,1402,{'1402': 'Evidence Booked (any crime)'},1,3/21/10,3/21/10,Northeast,34.0917,-118.2741
82,90014,0416 0419 1202,"{'0416': 'Hit-Hit w/ weapon', '0419': 'Pulled victims hair', '1202': 'Aged (60 & over) or blind/crippled/unable to care for self'}",3,3/21/10,3/21/10,Central,34.0452,-118.2534
