ID,zip_code,mo_code,mo_description,charge_of_violations,date_occurred,date_reported,area_name,latitude,longitude
49,90012,0344 1251,"{'0344': 'Removes vict property', '1251': 'Victim was a student'}",2,2010-02-25,2010-02-25,Central,34.0617,-118.2469
50,90014,0416 0429,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}",2,2010-02-25,2010-02-26,Central,34.0394,-118.2496
51,90014,,{'nan': 'Unknown code'},1,2010-02-27,2010-02-27,Central,34.0445,-118.2523
52,90079,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-02-28,2010-02-28,Central,34.0524,-118.2467
53,90015,0400 2000,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,2010-02-28,2010-03-01,Central,34.0389,-118.2643
54,90017,0329,{'0329': 'Vandalized'},1,2010-03-01,2010-03-01,Central,34.0459,-118.2579
55,90015,0344 0355 0400,"{'0344': 'Removes vict property', '0355': 'Demanded property other than money', '0400': 'Force used'}",3,2010-08-01,2010-08-01,Central,34.0384,-118.2646
56,90013,0200 0400,"{'0200': 'Suspect wore disguise', '0400': 'Force used'}",2,2010-02-28,2010-02-28,Central,34.0485,-118.2447
57,90013,1501,{'1501': 'Other MO (see rpt)'},1,2010-03-01,2010-03-01,Central,34.0435,-118.2427
58,90071,0329,{'0329': 'Vandalized'},1,2010-03-01,2010-03-01,Central,34.0503,-118.2504
59,90071,0413 0500 0536 0526,"{'0413': 'Drugged', '0500': 'Sex related acts', '0536': 'Suspect removes own clothing', '0526': 'Utilized Condom'}",4,2010-03-06,2010-03-06,Central,34.0535,-118.2560
60,90012,0329,{'0329': 'Vandalized'},1,2010-03-06,2010-03-07,Central,34.0695,-118.2324
61,90015,0329,{'0329': 'Vandalized'},1,2010-03-11,2010-03-11,Central,34.0416,-118.2620
62,90014,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,2010-03-11,2010-03-11,Central,34.0446,-118.2490
63,90079,0416 0417,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",2,2010-03-11,2010-03-12,Central,34.0530,-118.2444
64,90014,0416 0411 0417 1402,"{'0416': 'Hit-Hit w/ weapon', '0411': 'Cut/stabbed', '0417': 'Kicked', '1402': 'Evidence Booked (any crime)'}",4,2010-03-12,2010-03-12,Central,34.0435,-118.2471
